codigo;nombre;marca;categoria;subcategoria;voltaje;largo;ancho;precio;precioRevendedor;stock
0092M67000;BTZ7S;Bosch;Baterías;Moto;;;;592376;;50
0092M67004;BB16CL-B;Bosch;Baterías;Moto;;;;1651587;;50
0092M67041;BTX4L;Bosch;Baterías;Moto;;;;417364;;50
0092M67042;BTX5L;Bosch;Baterías;Moto;;;;451891;;50
0092M67044;BTX7A;Bosch;Baterías;Moto;;;;625661;;50
0092M67045;BTX7L;Bosch;Baterías;Moto;;;;585125;;50
0092M67046;BTX9;Bosch;Baterías;Moto;;;;815522;;50
0092M67047;BTX12;Bosch;Baterías;Moto;;;;1043874;;50
0092M67048;BTX14;Bosch;Baterías;Moto;;;;1200639;;50
0092M67053;B4L-B;Bosch;Baterías;Moto;;;;42287;;50
0092M67054;BB5LB;Bosch;Baterías;Moto;;;;350433;;50
0092M67055;BB7LB;Bosch;Baterías;Moto;;;;600178;;50
0092M67056;BT12B;Bosch;Baterías;Moto;;;;0;;50
0092M67057;BN9-4B1;Bosch;Baterías;Moto;;;;769779;;50
0092M67058;BB7-A;Bosch;Baterías;Moto;;;;737391;;50
1100;Z-45D;Moura;Baterías;Auto;;;;93300;;50
1101;Z-65D;Moura;Baterías;Auto;;;;111000;;50
1102;Z-75D;Moura;Baterías;Auto;;;;137000;;50
1103;MA80CD;Moura;Baterías;Auto;;;;621300;;50
1104;ME80CD;Moura;Baterías;Auto;;;;281000;;50
2/1/006,BJ;12/75-78w;Jalit;Baterías;;;;;135000;;50
2/1/010,BJ;12/200-174a;Jalit;Baterías;;;;;373000;;50
2/1/024,BJ;6/160-63a;Jalit;Baterías;;;;;155400;;50
2/1/038,BJ;12/55-54w;Jalit;Baterías;;;;;105000;;50
2/1/039,BJ;12/65-66w;Jalit;Baterías;;;;;120000;;50
2/1/040,BJ;12/120-90a;Jalit;Baterías;;;;;195000;;50
2/1/101,BJ;12/24-48t;Jalit;Baterías;;;;;132000;;50
2/1/104,BJ;12/75-72w;Jalit;Baterías;;;;;130000;;50
2/1/105,BJ;12/75-78w;Jalit;Baterías;;;;;150000;;50
2/1/110,BJ;12/70-78w;Jalit;Baterías;;;;;142000;;50
2/1/111,BJ;12/48-54w;Jalit;Baterías;;;;;108900;;50
2/1/112,BJ;12/80-90w;Jalit;Baterías;;;;;210000;;50
2/1/116,BJ;12/160-138a;Jalit;Baterías;;;;;289000;;50
2/1/117,BJ;12/50-60w;Jalit;Baterías;;;;;117000;;50
2/1/118,BJ;12/180-150a;Jalit;Baterías;Auto;;;;324000;;50
2/1/119,BJ;12/65-66w;Jalit;Baterías;;;;;127000;;50
2/1/120,BJ;12/100-102w;Jalit;Baterías;;;;;189000;;50
2/1/121,BJ;12/110-90a;Jalit;Baterías;;;;;210000;;50
2/1/122,BJ;12/75A-90w;Jalit;Baterías;;;;;170000;;50
2/1/123,BJ;12/35-48h;Jalit;Baterías;;;;;136000;;50
2/1/124,BJ;12/90-90w;Jalit;Baterías;;;;;210000;;50
2/1/128,BJ;12/45-60h;Jalit;Baterías;;;;;149700;;50
24 - AES;24 - AES;Trojan;Baterías;;12;274;174;0;;50
24M5;24M5;Deka;Baterías;;12;273;171;0;;50
24M7;24M7;Deka;Baterías;;12;273;171;0;;50
